B2 F1 R3 

Serial number: MT2025J25576   |    GUID: 0C42A10300B94A6A
Serial number: MT2025J25575   |    GUID: 0C42A10300B94A62
Serial number: MT2039J21417   |    GUID: 043F720300CF2A0A
Serial number: MT2039J21396   |    GUID: 043F720300CF2962
Serial number: MT2039J21493   |    GUID: 043F720300CF2C6A
Serial number: MT2025J25550   |    GUID: 0C42A10300B9499A
Serial number: MT2039J21496   |    GUID: 043F720300CF2C82
Serial number: MT2025J25570   |    GUID: 0C42A10300B94A3A
Serial number: MT2025J25555   |    GUID: 0C42A10300B949C2
Serial number: MT2025J25583   |    GUID: 0C42A10300B94AA2
Serial number: MT2025J25679   |    GUID: 0C42A10300B94D92
Serial number: MT2025J25466   |    GUID: 0C42A10300B946FA
Serial number: MT2025J25548   |    GUID: 0C42A10300B9498A
Serial number: MT2025J25602   |    GUID: 0C42A10300B94B3A
Serial number: MT2025J25592   |    GUID: 0C42A10300B94AEA
Serial number: MT2025J25546   |    GUID: 0C42A10300B9497A


B2 Storage R2

Serial number: MT2018T10167   |    GUID: 0C42A103006F0BB8
Serial number: MT2018T10157   |    GUID: 0C42A103006F0B90
Serial number: MT2018T10176   |    GUID: 0C42A103006F0C1C
Serial number: MT2018T10133   |    GUID: 0C42A103006F0B30
Serial number: MT2018T10932   |    GUID: 0C42A103006F1D2C
Serial number: MT2018T11328   |    GUID: 0C42A103006F1424
Serial number: MT2018T11327   |    GUID: 0C42A103006F1420
Serial number: MT2018T10855   |    GUID: 0C42A103006F1A00
Serial number: MT2018T11357   |    GUID: 0C42A103006F1604
Serial number: MT2018T10568   |    GUID: 0C42A103006F1ED0
Serial number: MT2018T10743   |    GUID: 0C42A103006F1344
Serial number: MT2018T10123   |    GUID: 0C42A103006F0B08
Serial number: MT2018T10564   |    GUID: 0C42A103006F1EC0
Serial number: MT2018T10930   |    GUID: 0C42A103006F1D24
Serial number: MT2025J25573   |    GUID: 0C42A10300B94A52
Serial number: MT2017X22722   |    GUID: 0C42A103006AA9CC
Serial number: MT2025J25643   |    GUID: 0C42A10300B94C82
Serial number: MT2017X22486   |    GUID: 0C42A103006AA26C
Serial number: MT2017X22425   |    GUID: 0C42A103006AA084
Serial number: MT2025J25417   |    GUID: 0C42A10300B94572
Serial number: MT2017X22483   |    GUID: 0C42A103006AA254
Serial number: MT2025J25578   |    GUID: 0C42A10300B94A7A
Serial number: MT2025J25569   |    GUID: 0C42A10300B94A32
Serial number: MT2017X22484   |    GUID: 0C42A103006AA25C
Serial number: MT2017X22488   |    GUID: 0C42A103006AA27C
Serial number: MT2017X22475   |    GUID: 0C42A103006AA214
Serial number: MT2025J25788   |    GUID: 0C42A10300B9510A
Serial number: MT2017X22686   |    GUID: 0C42A103006AA8AC
Serial number: MT2017X22489   |    GUID: 0C42A103006AA284
Serial number: MT2017X22728   |    GUID: 0C42A103006AA9FC
Serial number: MT2017X22541   |    GUID: 0C42A103006AA424
Serial number: MT2017X22727   |    GUID: 0C42A103006AA9F4
Serial number: MT2025J25597   |    GUID: 0C42A10300B94B12
Serial number: MT2025J25547   |    GUID: 0C42A10300B94982
Serial number: MT2025J18799   |    GUID: 0C42A10300B8B946
Serial number: MT2025J25785   |    GUID: 0C42A10300B950F2
Serial number: MT2017X22724   |    GUID: 0C42A103006AA9DC
Serial number: MT2025J25397   |    GUID: 0C42A10300B944D2
Serial number: MT2025J25545   |    GUID: 0C42A10300B94972
Serial number: MT2025J25594   |    GUID: 0C42A10300B94AFA
Serial number: MT2018T10135   |    GUID: 0C42A103006F0B38
Serial number: MT2018T10134   |    GUID: 0C42A103006F0B34
Serial number: MT2018T10162   |    GUID: 0C42A103006F0BA4
Serial number: MT2018T10562   |    GUID: 0C42A103006F1EB8
Serial number: MT2018T10929   |    GUID: 0C42A103006F1D20
Serial number: MT2018T10738   |    GUID: 0C42A103006F1330
Serial number: MT2018T10843   |    GUID: 0C42A103006F182C
Serial number: MT2018T10877   |    GUID: 0C42A103006F1A58
Serial number: MT2018T11358   |    GUID: 0C42A103006F1608
Serial number: MT2018T10163   |    GUID: 0C42A103006F0BA8
Serial number: MT2018T10744   |    GUID: 0C42A103006F1348
Serial number: MT2018T10868   |    GUID: 0C42A103006F1A34




B2 Storage R3


Serial number: MT2018T10528   |    GUID: 0C42A103006F1C34
Serial number: MT2018T10006   |    GUID: 0C42A103006F24AC
Serial number: MT2015T08649   |    GUID: 0C42A103005AB438
